,楼盘名,价格,项目地址,开发商,物业公司,最新开盘,交房时间,容积率,产权年限,绿化率,规划户数,物业费用,车位情况
123,智地哥谭, 16800,益州大道中段888号,成都智地置业有限公司,仲量联行测量师事务所（上海）有限公司成都分公司,2013.06,2013年01月,6.00,40年,18%,510,5元/m²/月,地下车位数907
124,创新时代广场, 19000,益州大道北段555号,暂无,暂无,2015.06,2015年12月31日,7.96,40年,15%,459,暂无,地下车位数3000
125,世豪广场, 15500,剑南大道中段1098号,成都金怡源房地产开发有限公司,世豪新瑞物业,2013.01.01,2014年09月30日,6.00,40年,15%,204,12元/m²/月,地上车位数1060
126,晶科一号, 14000,府城大道与天晖路交汇处,龙润房地产开发（成都）有限公司,暂无,2011.12,2013年06月01日,-1.00,40年,-1%,322,暂无,地下车位数213
127,金地天府城, 12000,天府大道南段极地海洋世界北侧,成都中奥华实业有限公司,成都金地物业管理有限公司,2016.08.19,待定,5.00,70年,45%,3512,2.5元/m²/月,地下车位数1218
128,中洲锦城湖岸, 24000,天府一街与益州大道交汇处（蒙彼利埃小学旁）,成都市银河湾房地产开发有限公司,深圳市中洲物业管理有限公司成都分公司,2016.10,2018年04月,3.00,70年,40%,3009,3元/m²/月,地下车位数2146
129,大源欢乐颂, 35000,天府三街1599号（天府三街与南华路交汇处）,成都锐力投资管理有限公司,龙湖物业,2016.10.29,2019年05月30日,4.99,40年,15%,2525,7.5元/m²/月,地下车位数1205
130,北大资源颐和翡翠府, 12800,红星路南延线与应龙路交叉口,成都北大资源地产有限公司,北京北大资源物业经营管理集团有限公司,2018.10.14,待定,2.55,70年,30%,暂无,暂无,地下车位数1755
131,海特国际广场, 80,科园南路1号,四川海特投资有限公司,暂无,2012.01.01,2015年12月31日,-1.00,40年,暂无,暂无,10~15元/m²/月,暂无信息
132,美洲花园棕榈湾, 19500,南三环路南五段188号（蓝天立交桥旁边）,成都华人房地产开发有限责任公司,成都美洲花园物业管理有限公司,2014.08.29,2016年03月31日,2.80,70年,40%,2882,2.18元/m²/月,地下车位数2700
133,恒大珺临阁, 19500,天府二街269号,四川川大科技园（南区）开发有限公司,成都威尔斯普物业管理有限公司,2018.03.24,2021年11月30日,5.50,40年,30%,2016,3.8元/m²/月,地下车位数818
134,中航国际交流中心, 15000,益州大道北段777号,成都市中航地产发展有限公司,成都中航物业服务管理有限公司,2013.10.29,待定,7.98,40年,10%,1467,12.27元/m²/月,"地上车位数100
                                        ；                                            地下车位数1868"
135,无国界, 17000,吉泰二路266号,四川川大科技园（南区）开发有限公司,第一太平戴维斯物业顾问(成都)有限公司,2011.11,2014年06月30日,5.50,40年,30%,244,10元/m²/月,地下车位数2916
136,皇庭国际中心, 130,天府大道吉瑞三路99号,成都泰然时代实业有限公司,成都泰阳物业,2015.12.22,2015年12月,6.90,40年,30%,312,26元/m²/月,地下车位数1344
