,foodtype,name,id,url,level,price,taste,envi,service,review
4922,烧烤,青青烤肉店,102431530,http://www.dianping.com/shop/102431530,准四星商户,47,7.1,7.2,7.3,22
4923,烧烤,老金家韩式烤肉店,102087387,http://www.dianping.com/shop/102087387,四星商户,-1,8.3,8.2,8.3,137
4924,烧烤,就爱吃肉·烤肉·椰子鸡汤(桂湖店),93013131,http://www.dianping.com/shop/93013131,准四星商户,88,7.0,7.0,7.0,171
4925,烧烤,鱼幺妹秘制.纸上烤鱼(大石西路店),27306314,http://www.dianping.com/shop/27306314,四星商户,65,7.9,8.1,8.1,248
4926,烧烤,名羊蜀都烤羊腿(永立星城都店),71396767,http://www.dianping.com/shop/71396767,四星商户,103,7.6,7.7,7.6,170
4927,烧烤,黑门烧肉居酒屋,98040477,http://www.dianping.com/shop/98040477,准四星商户,-1,7.6,7.6,7.6,63
4928,烧烤,碳在烧.烤肉(双流珠江路店),108288469,http://www.dianping.com/shop/108288469,准四星商户,71,7.3,7.3,7.3,27
4929,烧烤,刘三姐特色烤豆花(华润二十四城店),107773748,http://www.dianping.com/shop/107773748,准四星商户,-1,7.2,7.3,7.6,12
4930,烧烤,行走的烧烤(西昌火盆烧烤),58559482,http://www.dianping.com/shop/58559482,四星商户,71,8.4,8.3,8.4,385
4931,烧烤,西昌火塘月色特色烧烤,107755203,http://www.dianping.com/shop/107755203,准四星商户,-1,7.8,7.7,7.8,16
4932,烧烤,乐山刘记烧烤(东门海椒市店),2449732,http://www.dianping.com/shop/2449732,准四星商户,68,7.2,7.6,7.3,545
4933,烧烤,火上火石棉传统烧烤(蒲阳河店),110558456,http://www.dianping.com/shop/110558456,准四星商户,-1,7.2,7.2,7.2,7
4934,烧烤,爆走小牛把把烧(天府二街店),110527874,http://www.dianping.com/shop/110527874,准四星商户,-1,7.4,7.4,7.4,4
4935,烧烤,野烧烤(万科魅力店),32602064,http://www.dianping.com/shop/32602064,准四星商户,74,7.7,7.6,7.8,267
4936,烧烤,遇见宜宾烧烤,101953890,http://www.dianping.com/shop/101953890,四星商户,-1,8.0,8.0,8.0,46
4937,烧烤,嘿扎劲把把烧,92731288,http://www.dianping.com/shop/92731288,准四星商户,63,7.3,7.9,7.9,196
